DataSet: elecNormNew - Accuracy
Instance,    ECDD,     DDM,    EDDM,     ARF
 25000.0,  -14.05,  -38.88,  -53.19,  -19.91
 26000.0,   -0.29,  -14.21,  -15.21,   22.00
 27000.0,   -2.24,  -17.29,  -21.68,   18.79
 28000.0,  -34.73,  -65.93,  -85.71,  -47.03
 29000.0,  -26.21,  -49.66,  -36.21,  -38.53
 30000.0,  -40.28,  -65.46,  -80.00,  -15.00
 31000.0,    0.67,  -40.47,  -23.22,    2.82
 32000.0,  -25.62,  -54.79,  -39.72,   -2.92
 33000.0,  -58.29,  -67.35,  -70.77,  -15.98
 34000.0,   13.38,  -16.90,  -12.04,   16.41
 35000.0,  -15.49,  -43.77,  -65.33,  -44.10
 36000.0,   13.64,   10.45,   10.71,    6.17
 37000.0,   13.52,   -8.21,   -2.35,    0.00
 38000.0,   -5.00,  -19.86,  -19.44,    8.17
 39000.0,  -22.67,  -46.41,  -37.40,    6.56
 40000.0,    9.32,    9.52,   -1.23,   24.79
 41000.0,   14.27,   -2.16,    3.41,   41.89
 42000.0,   26.04,    3.33,   21.89,   38.87
 43000.0,  -23.52,  -54.30,  -43.91,    6.72
 44000.0,   16.12,  -19.02,   -2.95,   19.78
 45000.0,   10.08,  -34.73,  -19.31,   33.59
 45312.0,   20.56,   -2.04,   -7.39,   42.75
DataSet: sea - Accuracy
Instance,    ECDD,     DDM,    EDDM,     ARF
  1000.0,   83.04,   85.73,   85.71,   83.91
  2000.0,   83.65,   87.11,   86.68,   87.08
  3000.0,   84.48,   87.55,   87.06,   87.28
  4000.0,   84.39,   86.63,   85.69,   88.09
  5000.0,   85.96,   87.63,   87.33,   87.79
  6000.0,   87.39,   89.10,   88.79,   89.24
  7000.0,   85.31,   88.85,   88.92,   89.23
  8000.0,   83.65,   88.16,   88.16,   88.74
  9000.0,   85.69,   87.69,   87.80,   89.01
 10000.0,   85.16,   89.08,   89.12,   89.91
 11000.0,   85.07,   88.48,   88.50,   89.07
 12000.0,   83.47,   85.96,   86.01,   87.20
 13000.0,   83.90,   85.10,   85.15,   85.96
 14000.0,   83.60,   83.02,   81.46,   83.35
 15000.0,   86.31,   87.44,   83.53,   85.29
 16000.0,   85.43,   86.85,   83.46,   85.84
 17000.0,   84.44,   86.99,   84.79,   86.28
 18000.0,   81.04,   86.13,   82.88,   85.94
 19000.0,   84.62,   87.87,   85.54,   87.32
 20000.0,   86.59,   89.36,   89.04,   89.62
 21000.0,   82.33,   86.65,   86.64,   87.15
 22000.0,   86.47,   88.82,   89.01,   89.57
 23000.0,   84.73,   87.27,   87.30,   87.92
 24000.0,   84.02,   87.92,   87.37,   88.22
 25000.0,   85.79,   88.73,   89.10,   88.90
 26000.0,   86.30,   80.53,   79.69,   79.60
 27000.0,   84.79,   84.90,   80.07,   83.79
 28000.0,   86.97,   86.96,   86.02,   87.90
 29000.0,   85.65,   87.25,   87.34,   88.74
 30000.0,   86.52,   87.79,   88.36,   89.75
 31000.0,   85.33,   86.89,   87.07,   89.16
 32000.0,   87.82,   87.62,   88.01,   89.06
 33000.0,   86.25,   87.74,   88.68,   89.24
 34000.0,   83.93,   86.87,   87.96,   88.42
 35000.0,   86.54,   87.79,   88.67,   89.48
 36000.0,   87.84,   88.77,   89.34,   89.81
 37000.0,   85.00,   89.22,   90.04,   90.62
 38000.0,   82.81,   81.14,   81.08,   81.38
 39000.0,   84.32,   80.28,   78.31,   83.70
 40000.0,   85.50,   81.12,   85.38,   86.80
 41000.0,   83.46,   84.49,   85.63,   87.34
 42000.0,   84.82,   85.79,   87.12,   88.06
 43000.0,   83.51,   85.55,   85.99,   88.18
 44000.0,   82.73,   83.56,   85.18,   86.51
 45000.0,   86.73,   84.53,   86.77,   87.32
 46000.0,   85.22,   85.57,   87.75,   88.78
 47000.0,   85.78,   86.75,   89.30,   89.44
 48000.0,   86.78,   86.77,   89.38,   90.00
 49000.0,   82.42,   85.21,   87.67,   88.21
 50000.0,   86.04,   87.02,   89.49,   90.11
DataSet: sea - Kappa M
Instances,    ECDD,     DDM,    EDDM,     ARF
  1000.0,   51.54,   59.23,   59.17,   54.03
  2000.0,   49.85,   60.46,   59.14,   60.37
  3000.0,   60.51,   68.32,   67.07,   67.63
  4000.0,   56.40,   62.65,   60.03,   66.73
  5000.0,   60.34,   65.06,   64.21,   65.51
  6000.0,   62.36,   67.46,   66.54,   67.88
  7000.0,   59.53,   69.28,   69.48,   70.33
  8000.0,   53.42,   66.27,   66.27,   67.92
  9000.0,   61.43,   66.82,   67.12,   70.38
 10000.0,   59.34,   70.08,   70.19,   72.36
 11000.0,   59.10,   68.44,   68.49,   70.05
 12000.0,   54.21,   61.11,   61.25,   64.54
 13000.0,   58.40,   61.50,   61.63,   63.72
 14000.0,   63.06,   61.76,   58.24,   62.50
 15000.0,   68.16,   70.79,   61.70,   65.79
 16000.0,   66.58,   69.84,   62.06,   67.52
 17000.0,   62.23,   68.42,   63.08,   66.70
 18000.0,   55.07,   67.13,   59.43,   66.68
 19000.0,   65.20,   72.56,   67.29,   71.31
 20000.0,   68.30,   74.85,   74.09,   75.46
 21000.0,   59.38,   69.31,   69.29,   70.46
 22000.0,   68.82,   74.24,   74.68,   75.97
 23000.0,   64.24,   70.19,   70.26,   71.71
 24000.0,   62.31,   71.51,   70.21,   72.22
 25000.0,   67.11,   73.91,   74.77,   74.31
 26000.0,   54.79,   35.74,   32.97,   32.67
 27000.0,   47.37,   47.75,   31.04,   43.91
 28000.0,   59.28,   59.25,   56.31,   62.19
 29000.0,   49.11,   54.79,   55.11,   60.07
 30000.0,   52.37,   56.86,   58.87,   63.78
 31000.0,   53.58,   58.51,   59.08,   65.70
 32000.0,   61.33,   60.70,   61.94,   65.27
 33000.0,   54.47,   59.40,   62.52,   64.37
 34000.0,   44.39,   54.57,   58.34,   59.93
 35000.0,   51.93,   56.39,   59.54,   62.43
 36000.0,   61.64,   64.57,   66.37,   67.85
 37000.0,   46.62,   61.64,   64.56,   66.62
 38000.0,   56.48,   52.25,   52.10,   52.86
 39000.0,   65.00,   55.98,   51.58,   63.62
 40000.0,   69.98,   60.91,   69.73,   72.67
 41000.0,   61.80,   64.18,   66.81,   70.76
 42000.0,   66.19,   68.35,   71.31,   73.41
 43000.0,   63.36,   67.89,   68.87,   73.73
 44000.0,   61.96,   63.79,   67.36,   70.29
 45000.0,   70.58,   65.70,   70.67,   71.88
 46000.0,   68.08,   68.83,   73.54,   75.77
 47000.0,   70.86,   72.85,   78.07,   78.36
 48000.0,   72.29,   72.26,   77.74,   79.04
 49000.0,   61.19,   67.35,   72.78,   73.97
 50000.0,   70.92,   72.96,   78.10,   79.40
DataSet: sea - Kappa T
Instances,    ECDD,     DDM,    EDDM,     ARF
  1000.0,   63.84,   69.57,   69.53,   65.69
  2000.0,   61.16,   69.38,   68.36,   69.31
  3000.0,   68.46,   74.70,   73.70,   74.15
  4000.0,   64.20,   69.33,   67.18,   72.68
  5000.0,   70.38,   73.90,   73.27,   74.24
  6000.0,   71.34,   75.23,   74.52,   75.55
  7000.0,   68.07,   75.76,   75.91,   76.59
  8000.0,   63.01,   73.21,   73.21,   74.52
  9000.0,   69.36,   73.64,   73.88,   76.47
 10000.0,   68.82,   77.06,   77.14,   78.80
 11000.0,   69.59,   76.54,   76.58,   77.74
 12000.0,   64.75,   70.06,   70.17,   72.71
 13000.0,   65.38,   67.96,   68.06,   69.81
 14000.0,   65.47,   64.25,   60.97,   64.95
 15000.0,   72.29,   74.57,   66.66,   70.22
 16000.0,   68.87,   71.90,   64.66,   69.74
 17000.0,   68.31,   73.50,   69.02,   72.06
 18000.0,   60.33,   70.98,   64.18,   70.59
 19000.0,   68.74,   75.35,   70.61,   74.23
 20000.0,   73.55,   79.01,   78.38,   79.53
 21000.0,   63.72,   72.59,   72.57,   73.61
 22000.0,   72.67,   77.41,   77.80,   78.93
 23000.0,   71.08,   75.89,   75.95,   77.12
 24000.0,   69.50,   76.95,   75.90,   77.52
 25000.0,   70.88,   76.91,   77.66,   77.25
